seq1	seq2	Percent amino-acid identity
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Albany/6/58_H2N2_HOST_Human_AY209936	96.17918313570487
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Panama/1/66_H2N2_HOST_Human_AY209945	96.17918313570487
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Tokyo/31/72_H3N2_HOST_Human_AY210150	95.52042160737813
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Memphis/1/1986_H3N2_HOST_Human_CY002759	95.38866930171278
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/New_York/433/2000_H3N2_HOST_Human_CY003255	95.12516469038208
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Brevig_Mission/1/1918_H1N1_HOST_Human_DQ208309	98.55072463768116
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/mallard_duck/ALB/191/1990_H6N3_HOST_Avian_CY004241	99.60474308300395
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Nanchang/2-0486/2000_H2N9_HOST_Avian_CY005437	99.07773386034256
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Hong_Kong/342/78_H5N2_HOST_Avian_CY005582	98.81422924901186
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Australia/749/1980_H1N1_HOST_Avian_CY005690	99.07773386034256
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/mallard_duck/ALB/57/1976_H5N2_HOST_Avian_CY004324	99.7364953886693
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/mallard_duck/Alberta/321/1988_H9N2_HOST_Avian_CY005147	99.34123847167325
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Canterbury/12/2004_H3N2_HOST_Human_CY007354	94.72990777338603
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Canterbury/106/2004_H1N1_HOST_Human_CY007474	95.12516469038208
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Memphis/19/1978_H3N2_HOST_Human_CY007618	95.52042160737813
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Fort_Warren/1/1950_H1N1_HOST_Human_CY009339	96.70619235836627
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Bellamy/1942_H1N1_HOST_Human_CY009283	96.83794466403162
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Cameron/1946_H1N1_HOST_Human_CY009603	95.91567852437417
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Canterbury/9/2000_H1N1_HOST_Human_CY009947	95.52042160737813
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Taiwan/01/1986_H1N1_HOST_Human_DQ508870	95.78392621870883
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Taiwan/1964_H2N2_HOST_Human_DQ508878	96.04743083003953
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/New_York/654/1994_H3N2_HOST_Human_CY011495	94.99341238471673
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Dunedin/18/2002_H3N2_HOST_Human_CY013111	94.99341238471673
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Chabarovsk/1610/1972_H3N8_HOST_Avian_CY014709	99.34123847167325
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/pintail_duck/New_York/155/1982_H4N3_HOST_Avian_CY014944	99.34123847167325
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/black_duck/Ohio/101/1986_H6N2_HOST_Avian_CY018900	99.60474308300395
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Albany/4835/1948_H1N1_HOST_Human_CY019954	96.83794466403162
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Puerto_Rico/8/34_H1N1_HOST_Human_EF467818	96.83794466403162
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Maryland/2/1980_H1N1_HOST_Human_CY020188	96.44268774703558
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Henry/1936_H1N1_HOST_Human_CY020452	96.96969696969697
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Albany/2/1970_H3N2_HOST_Human_CY021092	95.78392621870883
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Italy/775/2004_H5N3_HOST_Avian_CY024753	99.34123847167325
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/England/494/2006_H1N1_HOST_Human_FJ445079	94.72990777338603
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Hokkaido/49/98_H9N2_HOST_Avian_AB473937	99.2094861660079
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/Boston/64/2008_H3N2_HOST_Human_CY044771	94.59815546772069
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Czech_Republic/1/1956_H4N6_HOST_Avian_CY045334	99.47299077733861
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/New_Jersey/5406-27/1994_H4N8_HOST_Avian_GU051908	99.07773386034256
A/green-winged_teal/Ohio/175/1986_H2N1_HOST_Avian_CY018884	ref_A/duck/Victoria/1992_H3N8_HOST_Avian_GU052320	99.2094861660079
